Name,Action,Industry,Country
Wargaming,"&lt;p&gt;Wargaming уходит из РФ и Белоруссии, передав бизнес по онлайн-играм российской компании.",NaN,Кипр
EOS DA,EOS DA приостановила свою деятельность и продажи на территории России.,NaN,США
Amazon CloudFront ,"Сам cloudfront работает, но сайты на нём падают имеют ограничения на территории России.",NaN,США
Amedia,Amedia о решении покинуть Россию.,NaN,Норвегия
Analog Devices,Доступ запрещен в соответствии с Правилами экспортного контроля США.,NaN,США
GnuDB,GnuDB закрыт для России из сочувствия Украинскому народу.,NaN,NaN
Ruckus,Для России установлена блокировка доступа к сайту поддержки\/скачивания драйверов\/обновлений.,NaN,США
edX,"Удаляют весь контент курсов edX, предлагаемых Российскими университетами.",NaN,США
OnShape,"Компания покинула Россию, деактивировав аккаунты российских пользователей.",NaN,NaN
Cadence,"Cadence Design Systems, Inc — компания, занимающаяся разработкой программного обеспечения для автоматизации проектирования электронных устройств и предоставлением инженерных услуг.",NaN,США
Live360,https:\/\/www.,NaN,NaN
badcode,https:\/\/badcode.,NaN,
World Cube Association,&lt;p&gt;World Cube Association запретил любые соревнования по спидкубингу (скоростная сборка кубика Рубика и других головоломок) на территории России и Беларуси.,NaN,США
Miltenyi Biotec,&lt;p&gt;Miltenyi Biotec прекратила поставлять в Россию оборудование для лечения рака.,NaN,Германия
softorino,&lt;p&gt;Softorino закрыл доступ к своим продуктам для России и Беларуси.,NaN,Украина
Chanel,&lt;p&gt;Chanel временно присоветовал деятельность в России.,NaN,Франция
Flatris,Flatris | Флетрис - многофункциональная шахматка квартир для застройщиков.,NaN,Украина
Zendesk,&lt;p&gt;Zendesk приостановил деятельность  в России и Беларуси и отключает аккаунты по истечению срока оплаченной подписки.,NaN,США
AppFollow,&lt;p&gt;AppFollow приостановил деятельность на территории Российской Федерации и Беларуси.,NaN,Финляндия
Stenders,&lt;p&gt;Stenders Cosmetics приостановила деятельность в России.,NaN,Латвия
Mattermost,&lt;p&gt;Mattermost перестал работать с российских IP.,NaN,США
EVE,,NaN,Украина
Johnson & Johnson,&lt;p&gt;Johnson &amp; Johnson приостанавливает поставки средств личной гигиены в Россию.,NaN,США
Decathlon,&lt;p&gt;Decathlon приостановит работу в России.,NaN,Франция
BLACKCATCARD,Платежные карты.,NaN,Мальта
Indie Cup,&lt;p&gt;Украинская компания Indie Cup приостановил свою деятельность на территории Российской Федерации.,NaN,Украина
Tripit,"TripIt - это приложение для путешествий, которое организует все ваши планы поездок в маршрут и объединяет все детали вашей поездки в одном месте.",NaN,США
OVHcloud,При регистрации не предоставляет выбора варианта &quot;Россия&quot; в поле &quot;страна пребывания&quot;.,NaN,Франция
heroku,"Heroku — облачная PaaS-платформа, поддерживающая ряд языков программирования.",NaN,США
FANUC,"Специализированная разработка решений для автоматизации производства
Учитывая ситуацию, FANUC приостановил все поставки в Россию и Беларусь.",NaN,Япония
Pearson,Издатель учебников по английскому также занимающийся приемом экзаменов по английскому языку.,NaN,NaN
mailtrap,"Mailtrap — онлайн-сервис для тестирования и разработки почтовых кампаний электронных писем, отправляемых с серверов разработчика.",NaN,NaN
Ott-Play by Alex,&lt;p&gt;Универсальный плеер Ott-Play (by Alex Ott-Play) прекратил работу для пользователей из России.,NaN,Украина
neberitrubku (Mister Group s.r.o),&lt;p&gt;Сайт и приложение &quot;Не бери трубку&quot; от компании &lt;a href=&quot;https:\/\/b2bhint.,NaN,Чехия
Gartner,&lt;p&gt;Международное аналитическое агентство Gartner приостановила деятельность в России.,NaN,США
Cambridge University Assessment,&lt;p&gt;Кембриджский университет приостановил\/перенес на неопределенный срок принятие Cambridge exam.,NaN,Великобритания
Coccinelle,&lt;p&gt;Coccinelle приостановил деятельность на территории России.,NaN,Италия
Theoutnet.com,&lt;p&gt;The Outnet приостановил продажу товаров для пользователей из России.,NaN,Италия
Lingvist,"Lingvist - это адаптивная платформа для изучения языков, доступная в международной публичной бесплатной бета-версии с 2014 года.",NaN,Швейцария
Fastw3b,&lt;p&gt;Fastw3b приостановил сотрудничество с пользователями из России и Беларуси.,NaN,Украина
Mockaroo,&lt;p&gt;Mockaroo перестал работу для пользователей из России.,NaN,Worldwide
SE Ranking,&lt;p&gt;SEranking.,NaN,США
Citrix,&lt;p&gt;Citrix приостановила все продажи и поддержку клиентов из России и Беларуси.,NaN,США
UPM,&lt;p&gt;UPM остановила поставки в Россию.,NaN,Финляндия
Audiokinetic,"&lt;p&gt;Audiokinetic прервала деловые отношения со всеми физическими и юридическими лицами, находящимися в Крымы, ДНР, ЛНР, России и Беларуси.",NaN,Канада
Screaming Frog,&lt;p&gt;Screaming Frog приостановил работу для российских пользователей.,NaN,Великобритания
Trailmakers (Flashbulb Games),,NaN,Дания
Veeam,&lt;p&gt;Компания Veeam приостановил продажи своей продукции в России.,NaN,Швейцария
Condé Nast (Advance Publications),&lt;p&gt;Condé Nast приостановил издательскую деятельность в России.,NaN,США
DXC Technology,&lt;p&gt;DXC Technology приостановил деятельность в России.,NaN,США
Finmap,"&lt;p&gt;Украинская компания Finmap прекратил деятельность с российскими пользователями, а также полностью закрыл доступ к данным.",NaN,Украина
inXile Entertainment,&lt;p&gt;inXile Entertainment приостановил продажу своих игр для России.,NaN,США
SCAD Soft,&lt;p&gt;SCAD Soft приостановил деятельность в России и Беларуси.,NaN,Украина
Expansive Worlds,&lt;p&gt;Игры компании Expansive Worlds стали недоступны на территории Российской Федерации.,NaN,Швеция
DipTrace,&lt;p&gt;DipTrace прекратил деятельность на территории России и Беларуси.,NaN,Украина
"Daz 3D (Daz Productions, Inc)","&lt;p&gt;Daz 3D перестал работать с российских IP, в том числе Daz Studio и Daz Install Manager.",NaN,США
MemoQ,&lt;p&gt;MemoQ приостановила продажи своих продуктов и услуг в России и Беларуси.,NaN,Венгрия
Spotify,&lt;p&gt;Spotify закрыл офис в России и скрыл контент государственных СМИ.,NaN,Швеция
ComAp,&lt;p&gt;ComAp отключил услуги WebSupervisor в России.,NaN,Чехия
MyLifeOrganized,&lt;p&gt;MyLifeOrganized приостанавливает продажи в России на неопределенный срок&lt;\/p&gt;.,NaN,Украина
Kahoot,"&lt;p&gt;Kahoot приостановил деятельность на территории Российской федерации&lt;\/p&gt;
&lt;p&gt;Kahoot! — игровая обучающая платформа, используемая в классе в школах и других учебных заведениях.",NaN,Италия
Snov.io,&lt;p&gt;Snov.,NaN,Украина
Sanofi,&lt;p&gt;Sanofi приостановил поставки не жизненно важных лекарств и вакцин в Россию и Беларусь.,NaN,Франция
New Relic,"&lt;p&gt;New Relic приостановил деятельность на территории России&lt;\/p&gt;
&lt;p&gt;New Relic - эт...",NaN,США
Johnson Controls,&lt;p&gt;Johnson Controls приостановила продажи и заключение новых договоров в России.,NaN,Ирландия
Imperva,&lt;p&gt;Imperva приостановил все бизнес-операции в России и Беларуси.,NaN,США
AttaPoll,"&lt;p&gt;AttaPoll перестал работать на территории Российской Федерации&lt;\/p&gt;
&lt;p&gt;AttaPoll — Простое и легкое англоязычное приложение для заработка на опросах.",NaN,Великобритания
Zadarma,&lt;p&gt;Zadarma прекратила деятельность на территории Российской Федерации.,NaN,Украина
Sharp,&lt;p&gt;Sharp приостанавливает отправку своей продукции в Россию.,NaN,Япония
VistaCreate (Crello LTD),&lt;p&gt;VistaCreate: Редактор Дизайнов от Crello LTD удален с Российского &lt;a href=&quot;https:\/\/apps.,NaN,Украина
Nestlé,"&lt;p&gt;Nestle прекратит продажу в РФ товаров таких брендов, как Nesquik и KitKat.",NaN,Швейцария
 Hewlett Packard Enterprise,&lt;p&gt;Hewlett Packard Enterprise деактивировала всех зарегистрированных пользователей из России и Белоруссии.,NaN,США
Trend Micro,Производитель антивирусного ПО.,NaN,Япония
Qualys,"&lt;p&gt;Qualys приостановил деятельность на территории России и Беларуси, а также аннулировал лицензии.",NaN,США
Talent.com,&lt;p&gt;Talent.,NaN,США
MacPaw,"&lt;p&gt;Компания MacPaw, которая разработала популярное приложение CleanMyMac, объявила о приостановке продажи своих продуктов в России и россиянам.",NaN,Украина
PwC (PricewaterhouseCoopers),"&lt;p&gt;PwC в России сообщило, что выходит из состава международной сети фирм и продолжит работу, поддерживая при этом тесные связи с ней.",NaN,Великобритания
Altium,&lt;p&gt;Altium Limited прекратила продажу ПО для клиентов из России.,NaN,США
Eneba,&lt;p&gt;Eneba закрыла доступ пользователям из России.,NaN,Литва
SiteGround,&lt;p&gt;SiteGround закрыл доступ для пользователей из России.,NaN,Болгария
Games Workshop,&lt;p&gt;Games Workshop приостанавливает все продажи продукции Warhammer в России.,NaN,Великобритания
Name.com,&lt;p&gt;Name.,NaN,США
The MathWorks (Matlab),&lt;p&gt;MathWorks отзывает лицензии у российских студентов и университетов.,NaN,США
Techland,&lt;p&gt;Techland приостановила продажу игр в белорусском и российском Steam.,NaN,Польша
Kraft Heinz,"&lt;p&gt;Kraft Heinz прекратила инвестиции, импорт и экспорт.",NaN,США
